feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
"(14,)",[0.7095 0.705  0.7025 0.6965 0.7075],0.7041999999999999,"('n_bjets',)",0.00579949696799249,0.004512205669071393,0.0022561028345356965
"(6, 14)",[0.7655 0.751  0.749  0.753  0.751 ],0.7539,"('jet_1_twb', 'n_bjets')",0.007629909535678831,0.005936328831862315,0.0029681644159311577
"(6, 7, 14)",[0.797  0.7965 0.7905 0.799  0.7905],0.7947000000000001,"('jet_1_twb', 'jet_2_twb', 'n_bjets')",0.00453691309138223,0.0035298725189445816,0.0017649362594722908
"(6, 7, 8, 14)",[0.8135 0.814  0.8125 0.814  0.82  ],0.8148,"('jet_1_twb', 'jet_2_twb', 'jet_3_twb', 'n_bjets')",0.003415102864843855,0.002657066051117272,0.001328533025558636
"(6, 7, 8, 13, 14)",[0.814  0.832  0.8245 0.8125 0.821 ],0.8208,"('jet_1_twb', 'jet_2_twb', 'jet_3_twb', 'n_jets', 'n_bjets')",0.00916620607419437,0.007131619731870173,0.003565809865935086
"(3, 6, 7, 8, 13, 14)",[0.813  0.8125 0.821  0.8165 0.8235],0.8173,"('jet_1_eta', 'jet_1_twb', 'jet_2_twb', 'jet_3_twb', 'n_jets', 'n_bjets')",0.005581774445884483,0.004342810150121698,0.002171405075060849
"(3, 6, 7, 8, 13, 14, 15)",[0.821  0.82   0.8125 0.81   0.8145],0.8156000000000001,"('jet_1_eta', 'jet_1_twb', 'jet_2_twb', 'jet_3_twb', 'n_jets', 'n_bjets', 'n_leptons')",0.005474192688292622,0.0042591078878093346,0.0021295539439046673
"(3, 4, 6, 7, 8, 13, 14, 15)",[0.818  0.82   0.8245 0.814  0.8215],0.8196,"('jet_1_eta', 'jet_2_eta', 'jet_1_twb', 'jet_2_twb', 'jet_3_twb', 'n_jets', 'n_bjets', 'n_leptons')",0.004515013141663428,0.0035128336140500837,0.0017564168070250416
"(3, 4, 5, 6, 7, 8, 13, 14, 15)",[0.8185 0.821  0.82   0.814  0.814 ],0.8174999999999999,"('jet_1_eta', 'jet_2_eta', 'jet_3_eta', 'jet_1_twb', 'jet_2_twb', 'jet_3_twb', 'n_jets', 'n_bjets', 'n_leptons')",0.003812789025531572,0.0029664793948382716,0.0014832396974191356
"(3, 4, 5, 6, 7, 8, 9, 13, 14, 15)",[0.8075 0.8205 0.8065 0.814  0.8265],0.8150000000000001,"('jet_1_eta', 'jet_2_eta', 'jet_3_eta', 'jet_1_twb', 'jet_2_twb', 'jet_3_twb', 'bjet_1_pt', 'n_jets', 'n_bjets', 'n_leptons')",0.009822179406298322,0.007641989269817128,0.003820994634908564
"(3, 4, 5, 6, 7, 8, 9, 11, 13, 14, 15)",[0.812  0.796  0.804  0.8005 0.8185],0.8061999999999999,"('jet_1_eta', 'jet_2_eta', 'jet_3_eta', 'jet_1_twb', 'jet_2_twb', 'jet_3_twb', 'bjet_1_pt', 'lep_2_pt', 'n_jets', 'n_bjets', 'n_leptons')",0.010383050674923951,0.008078366171448281,0.0040391830857241405
